Symbol,Year,Name,Country,Category,Market cap,Revenue,Earnings
NOC,2022,Northrop Grumman,USA,Aerospace|Defense contractors,$73.14 B,,
RHM.F,2005,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$2.10 B,,
RHM.F,2006,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$2.27 B,,
RHM.F,2007,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$2.17 B,,
RHM.F,2008,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$0.90 B,,
RHM.F,2009,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$1.87 B,$3.89 B,$0.20 B
RHM.F,2010,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$2.52 B,$4.54 B,$0.64 B
RHM.F,2011,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$1.44 B,$5.23 B,$0.36 B
RHM.F,2012,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$1.51 B,$5.35 B,$0.34 B
RHM.F,2013,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$1.88 B,$5.25 B,$0.12 B
RHM.F,2014,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$1.53 B,$5.39 B,$0.11 B
RHM.F,2015,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$2.87 B,$5.90 B,$0.33 B
RHM.F,2016,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$2.99 B,$6.37 B,$0.40 B
RHM.F,2017,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$4.97 B,$6.71 B,$0.44 B
RHM.F,2018,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$3.65 B,$6.99 B,$0.59 B
RHM.F,2019,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$4.85 B,$7.12 B,$0.59 B
RHM.F,2020,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$4.11 B,$6.68 B,$0.11 B
RHM.F,2021,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$3.95 B,,
RHM.F,2022,Rheinmetall,Germany,Automotive Suppliers|Defense contractors,$7.22 B,,
RTX,2001,Raytheon Technologies,USA,Aerospace|Defense contractors,$30.51 B,$27.48 B,$3.23 B
